school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;16;U;1;T;4;4;health;other;home;mother;1;1;0;0;1;0;1;1;1;0;4;4;4;1;2;2;4;1;1;1
GP;F;16;U;1;T;4;4;services;services;reputation;mother;1;3;0;0;1;1;1;1;1;0;3;2;3;1;2;2;6;1;1;1
GP;F;16;U;1;T;3;3;other;other;reputation;mother;3;2;0;1;1;0;1;1;0;0;5;3;2;1;1;4;4;1;1;1
GP;M;17;U;1;T;3;2;services;services;course;mother;1;1;3;0;1;0;1;1;1;0;5;5;5;2;4;5;16;0;0;0
GP;M;16;U;0;T;4;3;health;other;home;father;1;1;0;0;0;1;1;1;1;0;3;1;3;1;3;5;4;1;1;1
GP;M;15;U;1;T;4;3;teacher;other;reputation;mother;1;2;0;0;0;0;1;1;1;0;4;4;1;1;1;1;0;1;1;2
GP;M;15;U;1;T;4;4;health;health;other;father;1;1;0;0;1;1;1;1;1;0;5;4;2;1;1;5;0;1;2;2
GP;M;16;U;0;T;4;2;teacher;other;course;mother;1;2;0;0;0;0;1;1;1;0;4;5;1;1;3;5;2;2;2;2
GP;M;16;U;0;T;2;2;other;other;reputation;mother;2;2;0;0;1;0;1;1;1;0;5;4;4;2;4;5;0;1;1;1
GP;F;15;R;1;T;2;4;services;health;course;mother;1;3;0;1;1;1;1;1;1;0;4;3;2;1;1;5;2;1;1;1
GP;F;16;U;1;T;2;2;services;services;home;mother;1;1;2;0;1;1;0;1;1;0;1;2;2;1;3;5;14;0;1;1
GP;M;15;U;1;T;2;2;other;other;home;mother;1;1;0;0;1;1;1;1;1;0;4;2;2;1;2;5;2;1;1;1
GP;M;15;U;1;T;4;2;health;services;other;mother;1;1;0;0;0;1;1;1;1;0;2;2;4;2;4;1;4;2;2;2
GP;M;16;U;0;A;3;4;services;other;home;mother;1;2;0;1;1;0;1;1;1;0;5;3;3;1;1;5;4;1;1;1
GP;M;16;U;1;T;4;4;teacher;teacher;home;mother;1;2;0;0;1;1;1;1;1;1;4;4;5;5;5;5;16;1;1;1
GP;M;15;U;1;T;4;4;health;services;home;mother;1;2;0;0;1;1;0;1;1;0;5;4;2;3;4;5;0;1;1;1
GP;M;15;U;1;T;4;4;services;services;reputation;mother;2;2;0;0;1;0;1;1;1;0;4;3;1;1;1;5;0;2;2;2
GP;M;15;R;1;T;4;3;teacher;at_home;course;mother;1;2;0;0;1;0;1;1;1;1;4;5;2;1;1;5;0;2;2;2
GP;M;15;U;0;T;3;3;other;other;course;mother;1;2;0;0;0;0;0;1;1;0;5;3;2;1;1;2;0;1;1;1
GP;M;16;U;1;T;3;2;other;other;home;mother;1;1;0;0;1;1;0;1;1;0;5;4;3;1;1;5;0;1;1;2
GP;F;15;U;1;T;2;3;other;other;other;father;2;1;0;0;1;0;1;1;0;0;3;5;1;1;1;5;0;1;1;0
GP;M;15;U;0;T;4;3;teacher;services;home;mother;1;3;0;0;1;0;1;1;1;0;5;4;3;1;1;4;2;2;2;2
GP;M;16;R;1;A;4;4;other;teacher;reputation;mother;2;3;0;0;1;0;1;1;1;1;2;4;3;1;1;5;7;2;2;2
GP;F;15;R;1;T;3;4;services;health;course;mother;1;3;0;1;1;1;1;1;1;0;4;3;2;1;1;5;2;1;1;1
GP;F;15;R;1;T;2;2;at_home;other;reputation;mother;1;1;0;1;1;1;1;1;0;0;4;3;1;1;1;2;8;1;1;1
GP;F;16;U;0;T;2;2;other;other;home;mother;2;2;1;0;1;0;0;1;1;1;3;3;3;1;2;3;25;1;1;1
GP;M;15;U;0;T;4;4;teacher;other;home;other;1;1;0;0;1;0;0;1;1;1;5;4;3;2;4;5;8;1;1;1
GP;M;15;U;1;T;4;4;services;teacher;course;father;1;2;0;0;1;0;1;1;1;0;4;3;3;1;1;5;2;2;2;2
GP;M;15;U;1;T;2;2;services;services;course;father;1;1;0;1;1;0;1;1;1;0;5;4;1;1;1;1;0;1;1;1
GP;F;16;U;0;T;2;2;other;at_home;course;father;2;2;1;1;0;0;1;1;1;0;4;3;3;2;2;5;14;1;1;1
GP;F;15;U;0;A;4;3;other;other;course;mother;1;2;0;1;1;1;1;1;1;1;5;2;2;1;1;5;8;1;1;0
GP;F;16;U;0;A;3;3;other;services;home;mother;1;2;0;0;1;0;1;1;1;0;2;3;5;1;4;3;12;1;1;1
GP;M;16;U;1;T;4;3;health;services;reputation;mother;1;4;0;0;0;0;1;1;1;0;4;2;2;1;1;2;4;2;2;2
GP;M;15;U;1;T;4;2;teacher;other;home;mother;1;2;0;0;1;1;1;1;0;0;4;3;3;2;2;5;2;2;2;1
GP;F;15;U;1;T;4;4;services;teacher;other;father;1;2;1;1;1;0;0;1;1;0;4;4;4;1;1;3;2;1;1;1
GP;F;16;U;0;T;2;2;services;services;course;mother;3;2;0;0;1;1;1;1;1;0;4;3;3;2;3;4;2;1;1;1
GP;F;15;U;0;T;4;2;health;other;other;mother;1;2;0;0;1;1;1;1;1;0;4;3;3;1;1;5;2;1;1;1
GP;M;15;U;0;A;4;2;health;health;other;father;2;1;1;0;0;0;1;1;0;0;5;5;5;3;4;5;6;1;1;1
GP;F;15;U;1;T;4;4;services;services;course;mother;1;1;0;1;1;1;1;1;1;0;3;3;4;2;3;5;0;1;1;1
GP;F;15;U;0;A;3;3;other;other;other;mother;1;1;0;0;0;1;1;1;1;0;5;3;4;4;4;1;6;1;1;1
GP;F;16;U;1;A;2;1;other;other;other;mother;1;2;0;0;0;1;1;1;1;1;5;3;4;1;1;2;8;1;1;1
GP;F;15;U;1;A;4;3;services;services;reputation;mother;1;2;0;0;1;1;1;1;1;0;4;3;2;1;1;1;0;1;2;2
GP;M;15;U;1;T;4;4;teacher;health;reputation;mother;1;2;0;0;1;0;1;1;0;0;3;2;2;1;1;5;4;1;2;2
GP;M;15;U;0;T;1;2;other;at_home;home;father;1;2;0;1;1;0;1;1;1;0;4;3;2;1;1;5;2;1;1;1
GP;F;16;U;1;T;4;2;services;other;course;mother;1;2;0;0;1;0;1;1;1;0;4;2;3;1;1;5;2;2;2;2
GP;F;16;R;1;T;4;4;health;teacher;other;mother;1;2;0;0;1;0;1;1;0;0;2;4;4;2;3;4;6;1;1;1
GP;F;16;U;1;T;1;1;services;services;course;father;4;1;0;1;1;0;0;1;1;1;5;5;5;5;5;5;6;1;1;1
GP;F;16;U;0;T;1;2;other;services;reputation;father;1;2;0;1;0;0;1;1;1;0;4;4;3;1;1;1;4;1;1;1
GP;F;16;U;1;T;4;3;teacher;health;home;mother;1;3;0;1;1;1;1;1;1;0;3;4;4;2;4;4;2;1;1;1
GP;F;15;U;0;T;4;3;services;services;reputation;father;1;2;0;1;0;0;1;1;1;1;4;4;4;2;4;2;0;1;1;1
GP;F;16;U;0;T;4;3;teacher;services;course;mother;3;2;0;0;1;0;1;1;1;0;5;4;3;1;2;1;2;2;2;2
GP;M;15;U;1;A;4;4;other;services;reputation;mother;1;4;0;0;1;0;0;1;1;1;1;3;3;5;5;3;4;1;1;1
GP;F;16;U;1;T;3;1;services;other;course;mother;1;4;0;1;1;1;1;1;1;0;4;3;3;1;2;5;4;1;1;0
GP;F;15;R;0;T;2;2;health;services;reputation;mother;2;2;0;1;1;1;1;1;1;0;4;1;3;1;3;4;2;1;1;1
GP;F;15;R;0;T;3;1;other;other;reputation;father;2;4;0;0;1;0;0;1;1;0;4;4;2;2;3;3;12;2;2;2
GP;M;16;U;1;T;3;1;other;other;reputation;father;2;4;0;0;1;1;1;1;1;0;4;3;2;1;1;5;0;1;2;2
GP;M;15;U;1;T;4;2;other;other;course;mother;1;4;0;0;0;0;1;1;1;0;3;3;3;1;1;3;0;1;1;1
GP;F;15;R;1;T;1;1;other;other;reputation;mother;1;2;2;1;1;0;0;1;1;1;3;3;4;2;4;5;2;1;0;0
GP;M;16;U;1;T;3;1;other;other;reputation;mother;1;1;0;0;0;0;1;1;0;0;5;3;2;2;2;5;2;1;1;1
GP;F;16;U;1;T;3;3;other;services;home;mother;1;2;0;1;1;1;1;1;1;0;4;3;3;2;4;5;54;1;1;1
GP;M;15;U;1;T;4;3;teacher;other;home;mother;1;2;0;0;1;1;1;1;1;0;4;3;3;2;3;5;6;1;1;1
GP;M;15;U;1;T;4;0;teacher;other;course;mother;2;4;0;0;0;0;1;1;1;0;3;4;3;1;1;1;8;1;1;1
GP;F;16;U;1;T;2;2;other;other;reputation;mother;1;4;0;0;0;1;1;1;1;1;5;2;3;1;3;3;0;1;1;1
GP;M;17;U;1;T;2;1;other;other;home;mother;2;1;3;1;1;0;1;0;1;0;4;5;1;1;1;3;2;1;1;1
GP;F;16;U;1;T;3;4;at_home;other;course;mother;1;2;0;0;1;0;1;1;1;0;2;4;3;1;2;3;12;0;0;0
GP;M;15;U;1;T;2;3;other;services;course;father;1;1;0;1;1;1;0;1;1;1;3;2;2;1;3;3;2;1;1;1
GP;M;15;U;1;T;2;3;other;other;home;mother;1;3;0;1;0;1;0;1;1;0;5;3;2;1;2;5;4;1;1;1
GP;F;15;U;0;T;3;2;services;other;reputation;mother;1;2;0;0;1;1;1;1;1;0;4;4;4;1;1;5;10;1;0;0
GP;M;15;U;0;T;2;2;services;services;home;mother;2;2;0;0;0;1;1;1;1;0;5;3;3;1;3;4;4;2;2;2
GP;F;15;U;1;T;1;1;other;other;home;father;1;2;0;0;1;0;0;1;1;0;4;3;2;2;3;4;2;1;1;1
GP;F;15;U;1;T;4;4;services;services;reputation;father;2;2;2;0;0;1;1;1;1;1;4;4;4;2;3;5;6;1;1;1
GP;F;16;U;0;T;2;2;at_home;other;course;mother;1;2;0;0;1;0;1;1;0;0;4;3;4;1;2;2;4;1;1;0
GP;F;15;U;1;T;4;2;other;other;reputation;mother;1;3;0;0;1;0;1;1;1;0;5;3;3;1;3;1;4;1;1;1
GP;M;16;U;1;T;2;2;services;other;reputation;father;2;2;1;0;0;1;0;1;1;0;4;4;2;1;1;3;12;1;1;1
GP;M;16;U;0;A;4;4;teacher;health;reputation;mother;1;2;0;0;1;0;1;1;0;0;4;1;3;3;5;5;18;1;0;1
GP;F;16;U;1;T;3;3;other;other;home;mother;1;3;0;0;1;1;1;1;1;1;4;3;3;1;3;4;0;1;1;1
GP;F;15;U;1;T;4;3;services;other;reputation;mother;1;1;0;0;0;1;1;1;1;0;4;5;5;1;3;1;4;2;2;2
GP;F;16;U;0;T;3;1;other;other;home;father;1;2;0;1;1;0;1;1;0;0;3;3;3;2;3;2;4;1;0;0
GP;F;16;U;1;T;4;2;teacher;services;home;mother;2;2;0;0;1;1;1;1;1;0;5;3;3;1;1;1;0;1;1;1
GP;M;15;U;0;T;2;2;services;health;reputation;mother;1;4;0;0;1;0;1;1;1;0;4;3;4;1;1;4;6;1;1;1
GP;F;15;R;1;T;1;1;at_home;other;home;mother;2;4;1;1;1;1;1;1;1;0;3;1;2;1;1;1;2;1;1;1
GP;M;16;R;1;T;4;3;services;other;reputation;mother;2;1;0;1;1;0;0;1;1;0;3;3;3;1;1;4;2;1;2;2
GP;F;16;U;1;T;2;1;other;other;course;mother;1;2;0;0;1;1;1;1;0;1;4;3;5;1;1;5;2;1;1;1
GP;F;16;U;1;T;4;4;other;other;reputation;mother;1;1;0;0;0;0;0;1;1;0;5;3;4;1;2;1;6;1;1;1
GP;F;16;U;1;T;4;3;other;at_home;course;mother;1;3;0;1;1;1;1;1;1;0;5;3;5;1;1;3;0;1;1;1
GP;M;16;U;1;T;4;4;services;services;other;mother;1;1;0;1;1;1;1;1;1;0;4;5;5;5;5;4;14;1;1;0
GP;M;16;U;1;T;4;4;services;teacher;other;father;1;3;0;0;1;0;1;1;1;1;4;4;3;1;1;4;0;2;2;2
GP;M;15;U;1;T;4;4;services;other;course;mother;1;1;0;0;1;0;0;1;1;0;5;3;3;1;1;5;4;1;1;1
GP;F;15;U;1;T;3;2;services;other;home;mother;2;2;0;1;1;1;1;1;1;0;4;3;5;1;1;2;26;1;0;0
GP;M;15;U;1;A;3;4;services;other;course;mother;1;2;0;0;1;1;1;1;1;0;5;4;4;1;1;1;0;2;2;2
GP;F;15;U;1;A;3;3;other;health;reputation;father;1;4;0;1;0;0;1;1;0;0;4;3;3;1;1;4;10;1;1;1
GP;F;15;U;1;T;2;2;other;other;course;mother;1;4;0;1;1;1;1;1;1;0;5;1;2;1;1;3;8;1;1;1
GP;M;16;U;1;T;3;3;services;other;home;father;1;3;0;0;1;0;1;1;1;0;5;3;3;1;1;5;2;2;2;2
GP;M;15;R;1;T;4;4;other;other;home;father;4;4;0;0;1;1;1;1;1;1;1;3;5;3;5;1;6;1;1;1
GP;F;16;U;0;T;4;4;health;health;other;mother;1;3;0;0;1;1;1;1;1;1;5;4;5;1;1;4;4;1;2;2
GP;M;15;U;0;A;4;4;teacher;teacher;course;mother;1;1;0;0;0;0;1;1;1;0;5;5;3;1;1;4;6;2;2;2
GP;F;16;R;1;T;3;3;services;other;reputation;father;1;3;1;1;1;0;1;1;1;0;4;1;2;1;1;2;0;1;1;1
GP;F;16;U;1;T;2;2;at_home;other;home;mother;1;2;1;1;0;0;1;1;1;0;3;1;2;1;1;5;6;1;1;1
GP;M;15;U;0;T;4;2;teacher;other;course;mother;1;1;0;0;0;0;1;1;1;0;3;5;2;1;1;3;10;2;2;2
GP;M;15;R;1;T;2;1;health;services;reputation;mother;1;2;0;0;0;0;1;1;1;1;5;4;2;1;1;5;8;1;1;1
GP;M;16;U;1;T;4;4;teacher;teacher;course;father;1;2;0;0;1;0;1;1;1;0;5;4;4;1;2;5;2;2;2;2
GP;M;15;U;1;T;4;4;other;teacher;reputation;father;2;2;0;0;1;0;1;1;0;0;4;4;3;1;1;2;2;1;1;1
GP;M;16;U;1;T;3;3;other;services;home;father;2;1;0;0;0;0;1;1;1;0;5;4;2;1;1;5;0;1;1;1
GP;M;17;R;1;T;1;3;other;other;course;father;3;2;1;0;1;0;1;1;1;0;5;2;4;1;4;5;20;1;1;1
GP;M;15;U;1;T;3;4;other;other;reputation;father;1;1;0;0;0;0;1;1;1;0;3;4;3;1;2;4;6;1;1;1
GP;F;15;U;1;T;1;2;at_home;services;course;mother;1;2;0;0;0;0;0;1;1;0;3;2;3;1;2;1;2;2;2;2
GP;M;15;U;1;T;2;2;services;services;home;father;1;4;0;0;1;1;1;1;1;0;5;5;4;1;2;5;6;2;1;2
GP;F;16;U;0;T;2;4;other;health;course;father;2;2;0;0;1;1;1;1;1;1;4;2;2;1;2;5;2;1;1;1
GP;M;16;U;1;T;4;4;health;other;course;mother;1;1;0;0;1;0;1;1;1;0;3;4;4;1;4;5;18;1;1;1
GP;F;16;U;1;T;2;2;other;other;home;mother;1;2;0;0;0;1;1;1;1;1;5;4;4;1;1;5;0;1;1;1
GP;M;15;U;1;T;3;4;services;services;home;father;1;1;0;1;0;0;1;1;1;0;5;5;5;3;2;5;0;1;1;1
GP;F;15;U;0;A;3;4;other;other;home;mother;1;2;0;1;0;0;1;1;1;1;5;3;2;1;1;1;0;1;1;1
GP;F;19;U;1;T;0;1;at_home;other;course;other;1;2;3;0;1;0;0;0;0;0;3;4;2;1;1;5;2;1;1;1
GP;M;18;R;1;T;2;2;services;other;reputation;mother;1;1;2;0;1;0;1;1;1;0;3;3;3;1;2;4;0;1;0;0
GP;M;16;R;1;T;4;4;teacher;teacher;course;mother;1;1;0;0;0;1;1;1;1;0;3;5;5;2;5;4;8;2;2;2
GP;F;15;R;1;T;3;4;services;teacher;course;father;2;3;2;0;1;0;1;1;1;1;4;2;2;2;2;5;0;1;0;0
GP;F;15;U;1;T;1;1;at_home;other;course;mother;3;1;0;0;1;0;0;1;1;1;4;3;3;1;2;4;0;1;0;0
GP;F;17;U;0;T;2;2;other;other;course;father;1;1;0;0;1;0;1;1;1;1;3;4;4;1;3;5;12;1;1;1
GP;F;16;U;1;A;3;4;services;other;course;father;1;1;0;0;0;0;1;1;1;0;3;2;1;1;4;5;16;1;1;1
GP;M;15;R;1;T;3;4;at_home;teacher;course;mother;4;2;0;0;1;0;1;1;0;1;5;3;3;1;1;5;0;1;0;0
GP;F;15;U;1;T;4;4;services;at_home;course;mother;1;3;0;0;1;0;1;1;1;1;4;3;3;1;1;5;0;1;0;0
GP;M;17;R;1;T;3;4;at_home;other;course;mother;3;2;0;0;0;0;1;1;0;0;5;4;5;2;4;5;0;1;0;0
GP;F;16;U;1;A;3;3;other;other;course;other;2;1;2;0;1;0;0;1;1;1;4;3;2;1;1;5;0;0;0;0
GP;M;16;U;0;T;1;1;services;other;course;mother;1;2;1;0;0;0;1;1;0;1;4;4;4;1;3;5;0;1;1;1
GP;F;15;U;1;T;4;4;teacher;teacher;course;mother;2;1;0;0;0;0;1;1;1;0;4;3;2;1;1;5;0;2;2;2
GP;M;15;U;1;T;4;3;teacher;services;course;father;2;4;0;1;1;0;1;1;1;0;2;2;2;1;1;3;0;1;1;0
GP;M;16;U;0;T;2;2;services;services;reputation;father;2;1;2;0;1;0;1;1;1;0;2;3;3;2;2;2;8;1;1;1
GP;F;15;U;1;T;4;4;teacher;services;course;mother;1;3;0;0;1;1;1;1;1;0;4;2;2;1;1;5;2;1;1;1
GP;F;16;U;0;T;1;1;at_home;at_home;course;mother;1;1;0;0;0;0;1;1;1;0;3;4;4;3;3;1;2;1;1;1
GP;M;17;U;1;T;2;1;other;other;home;mother;1;1;3;0;1;0;1;1;1;0;5;4;5;1;2;5;0;0;0;0
GP;F;15;U;1;T;1;1;other;services;course;father;1;2;0;0;1;1;1;1;1;0;4;4;2;1;2;5;0;1;1;1
GP;F;15;U;1;T;3;2;health;services;home;father;1;2;3;0;1;0;1;1;1;0;3;3;2;1;1;3;0;0;1;0
GP;F;15;U;1;T;1;2;at_home;other;course;mother;1;2;0;0;1;1;0;1;1;0;4;3;2;1;1;5;2;1;1;1
GP;M;16;U;1;T;4;4;teacher;teacher;course;mother;1;1;0;0;1;0;1;0;1;1;3;3;2;2;1;5;0;1;0;0
GP;M;15;U;0;A;2;1;services;other;course;mother;4;1;3;0;0;0;1;1;1;0;4;5;5;2;5;5;0;1;1;1
GP;M;18;U;0;T;1;1;other;other;course;mother;1;1;3;0;0;0;1;0;1;1;2;3;5;2;5;4;0;0;0;0
GP;M;16;U;0;T;2;1;at_home;other;course;mother;1;1;1;0;0;0;1;1;0;1;4;4;4;3;5;5;6;1;1;1
GP;F;15;R;1;T;3;3;services;services;reputation;other;2;3;2;0;1;1;1;1;1;1;4;2;1;2;3;3;8;1;1;1
GP;M;19;U;1;T;3;2;services;at_home;home;mother;1;1;3;0;1;0;1;0;1;1;4;5;4;1;1;4;0;0;0;0
GP;F;17;U;1;T;4;4;other;teacher;course;mother;1;1;0;1;1;0;1;1;0;1;4;2;1;1;1;4;0;1;1;1
GP;M;15;R;1;T;2;3;at_home;services;course;mother;1;2;0;1;0;1;1;1;0;0;4;4;4;1;1;1;2;1;1;1
GP;M;17;R;0;T;1;2;other;other;reputation;mother;1;1;0;0;0;0;1;1;0;0;2;2;2;3;3;5;8;2;1;1
GP;F;18;R;1;T;1;1;at_home;other;course;mother;3;1;3;0;1;0;0;1;0;0;5;2;5;1;5;4;6;1;1;1
GP;M;16;R;1;T;2;2;at_home;other;course;mother;3;1;0;0;0;0;0;1;0;0;4;2;2;1;2;3;2;2;2;2
GP;M;16;U;1;T;3;3;other;services;course;father;1;2;1;0;1;1;1;1;1;1;4;5;5;4;4;5;4;1;1;1
GP;M;17;R;0;T;2;1;at_home;other;course;mother;2;1;2;0;0;0;1;0;1;1;3;3;2;2;2;5;0;1;0;0
GP;M;15;R;1;T;3;2;other;other;course;mother;2;2;2;1;1;0;1;1;1;1;4;4;4;1;4;3;6;0;1;1
GP;M;16;U;0;T;1;2;other;other;course;mother;2;1;1;0;0;0;1;1;0;0;4;4;4;2;4;5;0;1;0;0
GP;M;17;U;1;T;1;3;at_home;services;course;father;1;1;0;0;0;0;1;0;1;0;5;3;3;1;4;2;2;1;1;1
GP;M;17;R;0;T;1;1;other;services;course;mother;4;2;3;0;0;0;1;0;0;1;5;3;5;1;5;5;0;0;1;1
GP;M;16;U;1;T;3;2;services;services;course;mother;2;1;1;0;1;0;0;0;0;0;4;5;2;1;1;2;16;1;1;1
GP;M;16;U;1;T;2;2;other;other;course;father;1;2;0;0;0;0;1;0;1;0;4;3;5;2;4;4;4;1;1;1
GP;F;16;U;1;T;4;2;health;services;home;father;1;2;0;0;0;1;1;1;1;1;4;2;3;1;1;3;0;1;2;2
GP;F;16;U;1;T;2;2;other;other;home;mother;1;2;0;0;1;1;0;1;1;0;5;1;5;1;1;4;0;0;1;0
GP;F;16;U;1;T;4;4;health;health;reputation;mother;1;2;0;0;1;1;1;1;1;1;4;4;2;1;1;3;0;1;1;1
GP;M;16;U;1;T;3;4;other;other;course;father;3;1;2;0;1;0;0;1;1;0;3;4;5;2;4;2;0;0;0;0
GP;M;16;U;1;T;1;0;other;other;reputation;mother;2;2;0;0;1;1;1;1;1;1;4;3;2;1;1;3;2;1;2;2
GP;M;17;U;0;T;4;4;teacher;other;reputation;mother;1;2;0;0;1;1;1;1;1;0;4;4;4;1;3;5;0;1;1;1
GP;F;16;U;1;T;1;3;at_home;services;home;mother;1;2;3;0;0;0;0;1;1;1;4;3;5;1;1;3;0;1;1;0
GP;F;16;U;0;T;3;3;other;other;reputation;mother;2;2;0;0;1;1;1;1;1;0;4;4;5;1;1;4;4;1;1;1
GP;M;17;U;0;T;4;3;teacher;other;course;mother;2;2;0;0;0;1;1;1;1;0;4;4;4;4;4;4;4;1;1;1
GP;F;16;U;1;T;2;2;services;other;reputation;mother;2;2;0;0;0;1;0;1;1;0;3;4;4;1;4;5;2;1;1;1
GP;M;17;U;1;T;3;3;other;other;reputation;father;1;2;0;0;0;0;0;1;1;0;4;3;4;1;4;4;4;0;0;0
GP;M;16;R;1;T;4;2;teacher;services;other;mother;1;1;0;0;1;0;1;1;1;1;4;3;3;3;4;3;10;1;1;1
GP;M;17;U;1;T;4;3;other;other;course;mother;1;2;0;0;1;0;1;1;1;1;5;2;3;1;1;2;4;1;1;1
GP;M;16;U;1;T;4;3;teacher;other;home;mother;1;2;0;0;1;1;1;1;1;0;3;4;3;2;3;3;10;1;1;1
GP;M;16;U;1;T;3;3;services;other;home;mother;1;2;0;0;0;1;1;1;1;1;4;2;3;1;2;3;2;1;1;1
GP;F;17;U;1;T;2;4;services;services;reputation;father;1;2;0;0;1;0;1;1;0;0;5;4;2;2;3;5;0;2;2;2
GP;F;17;U;0;T;3;3;other;other;reputation;mother;1;2;0;0;1;0;1;1;1;1;5;3;3;2;3;1;56;1;1;1
GP;F;16;U;1;T;3;2;other;other;reputation;mother;1;2;0;0;1;1;1;1;1;0;1;2;2;1;2;1;14;1;1;1
GP;M;17;U;1;T;3;3;services;services;other;mother;1;2;0;0;1;0;1;1;1;1;4;3;4;2;3;4;12;1;1;1
GP;M;16;U;1;T;1;2;services;services;other;mother;1;1;0;0;1;1;1;1;1;1;3;3;3;1;2;3;2;1;1;1
GP;M;16;U;0;T;2;1;other;other;course;mother;1;2;0;0;0;1;1;1;1;1;4;2;3;1;2;5;0;2;2;2
GP;F;17;U;1;A;3;3;health;other;reputation;mother;1;2;0;0;1;0;0;1;1;1;3;3;3;1;3;3;6;1;1;1
GP;M;17;R;1;T;1;2;at_home;other;home;mother;1;2;0;0;0;0;1;1;0;0;3;1;3;1;5;3;4;1;1;1
GP;F;16;U;1;T;2;3;services;services;course;mother;1;2;0;0;0;0;1;1;1;0;4;3;3;1;1;2;10;1;1;1
GP;F;17;U;1;T;1;1;at_home;services;course;mother;1;2;0;0;0;0;1;1;1;0;5;3;3;1;1;3;0;1;1;1
GP;M;17;U;1;T;1;2;at_home;services;other;other;2;2;0;0;0;1;0;1;1;0;4;4;4;4;5;5;12;1;1;1
GP;M;16;R;1;T;3;3;services;services;reputation;mother;1;1;0;0;1;0;1;1;1;0;4;3;2;3;4;5;8;1;1;1
GP;M;16;U;1;T;2;3;other;other;home;father;2;1;0;0;0;0;1;1;1;0;5;3;3;1;1;3;0;1;1;1
GP;F;17;U;0;T;2;4;services;services;course;father;1;2;0;0;0;0;1;1;1;1;4;3;2;1;1;5;0;1;2;2
GP;M;17;U;1;T;4;4;services;teacher;home;mother;1;1;0;0;0;0;1;1;1;0;5;2;3;1;2;5;4;2;2;2
GP;M;16;R;0;T;3;3;teacher;other;home;father;3;1;0;0;1;1;1;1;1;0;3;3;4;3;5;3;8;1;1;1
GP;F;17;U;1;T;4;4;services;teacher;home;mother;2;1;1;0;1;0;1;1;1;0;4;2;4;2;3;2;24;2;2;2
GP;F;16;U;0;T;4;4;teacher;teacher;reputation;mother;1;2;0;0;1;1;1;1;1;0;4;5;2;1;2;3;0;1;1;1
GP;F;16;U;1;T;4;3;health;other;home;mother;1;2;0;0;1;0;1;1;1;0;4;3;5;1;5;2;2;2;2;2
GP;F;16;U;1;T;2;3;other;other;reputation;mother;1;2;0;1;1;1;1;1;0;0;4;4;3;1;3;4;6;1;1;1
GP;F;17;U;1;T;1;1;other;other;course;mother;1;2;0;0;1;1;0;1;0;0;4;4;4;1;3;1;4;1;1;1
GP;F;17;R;1;T;2;2;other;other;reputation;mother;1;1;0;0;1;0;1;1;1;0;5;3;2;1;2;3;18;1;0;0
GP;F;16;R;1;T;2;2;services;services;reputation;mother;2;4;0;0;1;1;0;1;1;0;5;3;5;1;1;5;6;1;1;1
