Month;Location;MinTemp;MaxTemp;Rainfall;WindGustSpeed;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud3pm;Temp9am;Temp3pm;RainToday;RainTomorrow
1;Albury;18.7;34.2;0;31;19;11;48;33;1015.7;1012.3;1;23.3;32;No;Yes
1;Albury;18.5;25.7;19.4;37;9;17;96;65;1014.9;1010.5;8;18.9;23.2;Yes;Yes
1;Albury;17.7;31.7;4.2;35;0;13;83;47;1008.1;1002.8;1;20.8;30.4;Yes;No
1;Albury;17.1;24.2;0;48;7;24;77;72;1000.7;1003.4;7;20.7;16.1;No;No
1;Albury;10;28.1;0;52;11;9;70;26;1005.2;1000.8;-1;16;27.1;No;Yes
1;Albury;13.8;24.2;7;48;17;26;79;48;1003.9;1002.2;6;16.9;22.5;Yes;Yes
2;Albury;13;26.1;28.6;28;17;13;88;47;1004.2;1003.2;2;14.7;24.2;Yes;No
2;Albury;14.4;29.7;0.2;22;7;7;69;37;1006.2;1003.2;1;20.7;28;No;No
2;Albury;19.8;25.8;0;31;6;13;67;74;1002.8;1004.4;8;22.4;22.6;No;No
2;Albury;16.5;29.8;0.4;46;22;20;53;32;1014;1012.3;-1;20;28.4;No;No
2;Albury;14.2;29.9;0;30;15;11;47;34;1018.3;1015.8;-1;20;27;No;No
2;Albury;14.6;30.3;0;22;7;13;64;34;1017.9;1014.7;4;20.3;28.1;No;No
2;Albury;15.2;32.8;0;28;4;15;67;37;1017.9;1014.9;-1;21;30.7;No;No
2;Albury;18;35.2;0;37;2;9;51;32;1019;1016;-1;24.2;33.8;No;No
2;Albury;18.8;35;0;28;9;11;54;31;1019;1015.6;-1;24.8;33.3;No;No
2;Albury;15.7;35;0;33;9;20;64;22;1014.2;1010.2;-1;22.6;33.9;No;No
2;Albury;17.3;35.2;0;28;6;9;53;23;1013.1;1010.4;-1;23.3;33.6;No;No
2;Albury;17.3;34.9;0;26;7;11;59;23;1014.9;1011.6;2;22.9;33.3;No;No
2;Albury;16.9;37.7;0;30;2;7;55;16;1011.7;1007.3;-1;22.7;35.8;No;No
2;Albury;22.3;30.3;0;44;15;20;53;27;1008.9;1008.2;-1;23.4;28.9;No;No
2;Albury;13.8;28.9;0;41;4;19;58;27;1012;1009;-1;20.1;27.9;No;No
2;Albury;15.2;26.3;0;43;20;26;54;24;1010.9;1009.8;-1;19.4;24.8;No;No
2;Albury;10.5;26.7;0;39;11;15;45;34;1013.6;1010;1;16;24.1;No;No
2;Albury;12.7;30.5;0;28;9;13;63;32;1009.8;1006.8;-1;18.5;28.7;No;No
2;Albury;13.9;32.9;0;44;7;20;64;24;1011.4;1009.7;-1;19.9;31.1;No;No
2;Albury;15.2;31.2;0;30;6;17;61;28;1017.2;1016.6;-1;20.7;30.2;No;No
2;Albury;13.6;34.4;0;33;9;11;60;22;1023.6;1020.5;-1;19.8;33.5;No;No
2;Albury;15.2;35.4;0;31;4;13;51;30;1023.9;1019.6;1;21.8;34.1;No;No
2;Albury;20.1;39.5;0;41;11;20;46;19;1017.7;1013.3;-1;26.5;38.4;No;No
2;Albury;22.5;40.9;0;54;7;30;43;15;1012.2;1008.1;1;28.3;40.1;No;No
2;Albury;22.4;36.4;0;43;7;15;38;36;1009.6;1009.1;7;28.3;32.3;No;No
2;Albury;14.9;31.2;0.2;33;0;19;51;19;1015.8;1014.7;-1;21.5;29.9;No;No
2;Albury;14.7;33.1;0;30;7;13;58;28;1018.7;1015.6;-1;20.9;32.3;No;No
2;Albury;16.2;33.4;0;31;7;15;59;21;1018;1015.1;-1;22.1;31.3;No;No
2;Albury;15.4;32.3;0;24;6;15;56;34;1019.5;1016.5;-1;21.6;30.3;No;No
3;Albury;14.7;35.1;0;37;7;13;63;21;1019.5;1016.1;-1;20.8;33.7;No;No
3;Albury;16.8;37.2;0;31;4;11;48;10;1018.1;1015.9;-1;23.9;36.4;No;No
3;Albury;16.7;35;0;50;9;7;37;24;1019.4;1016.2;8;25.3;33.2;No;No
3;Albury;15.9;37;0;26;7;7;57;22;1020;1016.1;-1;23;36.3;No;No
3;Albury;20.3;38.5;0;28;4;9;50;23;1019.3;1016.5;-1;25.9;37.5;No;No
3;Albury;20.5;37.1;0;46;6;11;54;29;1019.8;1017.2;8;25.7;34.1;No;No
3;Albury;17.4;38.5;0.2;24;6;9;56;22;1019.7;1016.7;-1;24.8;36.5;No;No
3;Albury;20.1;38.3;0;30;7;11;56;14;1020.1;1017.2;-1;25.6;37;No;No
3;Albury;18.7;38.3;0;39;9;20;49;24;1018.9;1015.4;2;25.7;35.2;No;No
3;Albury;24.6;36.8;0;41;4;9;54;27;1018.9;1015;5;26.1;35.5;No;No
3;Albury;20;32.3;0.6;46;9;20;70;43;1017.5;1015.1;8;24.5;30.6;No;Yes
3;Albury;20;34;6.6;28;7;7;80;45;1019;1016.9;4;23.1;32.5;Yes;No
3;Albury;19.4;35.2;0.2;30;4;13;71;26;1018.6;1015.1;-1;22.7;33.5;No;No
3;Albury;18;35.1;0;37;7;22;59;21;1016.8;1013.7;-1;22.5;33.8;No;No
3;Albury;20.4;31.8;0;33;17;15;54;35;1018;1015.4;-1;23.2;30;No;No
3;Albury;19.2;30.8;0;24;7;11;61;30;1019.2;1015.5;-1;20.8;30.1;No;No
3;Albury;16;31.1;0.4;26;6;11;64;35;1015.5;1010.3;-1;20.5;28.8;No;Yes
3;Albury;19.8;21.1;10.4;74;22;37;98;55;996;1000.3;1;20;19.9;Yes;Yes
3;Albury;9.5;21.1;10.4;46;13;13;67;38;1013.7;1013.4;8;12.9;19.4;Yes;No
3;Albury;12.7;24.2;0;31;20;17;50;29;1018.2;1016.5;1;15.3;23;No;No
3;Albury;12.4;25.2;0;35;19;19;54;34;1019.7;1016.5;-1;16.6;24;No;No
3;Albury;11;26.5;0;31;6;9;67;34;1019.4;1015.6;-1;15.8;24.9;No;No
3;Albury;10;27.1;0;30;0;13;81;31;1018.6;1017.1;-1;14.2;25.4;No;No
3;Albury;14.2;25.1;0;20;0;13;69;47;1020.3;1017.8;6;17.8;24.3;No;No
3;Albury;15.5;28.4;0.2;35;0;22;85;39;1018.7;1015.9;1;16.6;26.9;No;No
3;Albury;8.9;26.4;0;30;0;11;72;32;1018.4;1016.3;-1;13.4;25.3;No;No
3;Albury;10;27.4;0;28;2;9;75;31;1018.2;1015.6;-1;14.5;26.2;No;No
3;Albury;11.7;27.8;0;30;0;15;74;31;1017.4;1014;-1;15.3;26.9;No;No
3;Albury;13.8;26.2;0;35;0;11;69;27;1017.7;1014.9;-1;16;25.5;No;No
3;Albury;11.8;20.4;0.8;33;0;15;71;66;1017.5;1016.1;6;15.9;17.9;No;No
3;Albury;9.5;25.5;0;19;4;11;83;42;1018.9;1016.4;-1;13;23.1;No;No
4;Albury;9.2;27;0;28;0;17;81;22;1018.1;1015;-1;13;26;No;No
4;Albury;8.6;30;0;41;0;19;73;21;1017.7;1015.2;-1;12.6;29.1;No;No
4;Albury;7.6;26.5;0;22;6;6;54;29;1023.6;1020.4;-1;17.9;26.2;No;No
4;Albury;9.7;28.8;0;20;11;9;59;35;1022.2;1016.5;-1;17.3;27.1;No;No
4;Albury;10.5;31.8;0;35;9;22;65;23;1017;1011.9;-1;18.8;31;No;No
4;Albury;7.9;26.4;0;39;0;15;50;32;1014.5;1014;7;17.7;23.2;No;No
4;Albury;5.3;22.5;0;22;7;11;84;36;1024.1;1020.9;-1;12;22.1;No;No
4;Albury;11.4;19.7;0;17;0;9;66;64;1023;1021.8;4;13.7;16.7;No;No
4;Albury;4.8;23.1;0.4;24;6;19;70;33;1023.7;1020.2;-1;12.9;22.9;No;No
4;Albury;6.1;24;0;39;6;17;71;42;1021.9;1018.4;2;13.7;21.9;No;No
4;Albury;8.7;24.9;0;31;4;17;70;36;1020.6;1017.8;-1;14.4;24.5;No;No
4;Albury;8.4;24.7;0;22;2;9;63;39;1022.9;1019.7;-1;15.4;24.3;No;No
4;Albury;8.9;27.2;0;24;0;9;61;34;1027;1023.6;3;16.2;26.8;No;No
4;Albury;10;28.7;0;24;4;11;63;27;1028.5;1024.2;3;16.9;28.2;No;No
4;Albury;11;27.6;0;17;7;9;73;38;1024.9;1019.7;8;15.7;26.1;No;No
4;Albury;12.9;28.5;0;31;7;7;68;31;1020.4;1016.5;1;17.4;27.1;No;No
4;Albury;11.7;25.4;0;30;0;15;68;39;1021.7;1017.9;-1;17.1;25.1;No;Yes
4;Albury;10.6;25.7;3.8;28;9;11;72;36;1021.8;1017.9;2;16.5;24.8;Yes;No
4;Albury;9.5;26.1;0;20;0;7;67;41;1022.3;1019.4;2;16.4;24.8;No;No
4;Albury;8.8;27;0;19;0;7;68;29;1024.4;1020.8;-1;15.7;26.1;No;No
4;Albury;9.8;22.4;0;19;4;9;61;55;1022.7;1019.6;3;17.4;22;No;Yes
4;Albury;12.8;23.6;3.6;31;7;13;97;46;1022.6;1019.9;3;16.5;23;Yes;No
4;Albury;9.4;22.7;0;28;20;13;49;24;1027.4;1024.9;-1;14.5;22;No;No
4;Albury;7.1;24.9;0;20;0;7;63;28;1031.4;1028.1;-1;13.1;23.9;No;No
4;Albury;6.7;24.3;0;15;2;9;68;36;1032.4;1028.2;-1;14.6;23.8;No;No
4;Albury;6.1;25.4;0;17;0;9;66;31;1030.5;1025.7;-1;14.2;24.4;No;No
4;Albury;6.4;26.6;0;39;6;17;62;35;1026.6;1020.5;-1;14;25.1;No;No
4;Albury;11.7;28.5;0;28;0;13;70;32;1022.9;1018.9;2;15.7;27.4;No;No
4;Albury;12.1;26.9;0;59;2;7;68;92;1019.2;1017.5;8;17.3;17.6;No;Yes
4;Albury;16.8;23.4;8.6;30;2;19;100;64;1018.1;1015.1;8;17.9;22.5;Yes;Yes
5;Albury;13.2;20;4;63;30;28;74;46;1012.1;1013;4;16.7;17.7;Yes;No
5;Albury;3.8;16.9;0;26;7;15;88;44;1017.8;1014.4;8;9.7;16.1;No;No
5;Albury;6.6;22.2;0;52;6;35;66;32;1011.4;1006;-1;13.5;21.4;No;Yes
5;Albury;11;17.5;2.4;37;9;9;73;39;1017.2;1017;-1;12.5;17;Yes;No
5;Albury;10.5;20.3;0;19;7;9;73;45;1021.5;1017.6;1;12.7;19.6;No;No
5;Albury;6.7;25.2;0;22;0;9;73;38;1020.6;1016.7;1;13.5;24.7;No;No
5;Albury;7.9;24;0;15;6;9;79;47;1021.1;1017.4;-1;14.4;23.1;No;Yes
5;Albury;13.9;18.2;13.2;41;13;26;100;98;1014.6;1008.6;8;14.7;16.1;Yes;Yes
5;Albury;14.7;18.3;46;54;17;4;90;73;1003.4;1000.7;1;17.9;17.6;Yes;Yes
5;Albury;13.4;17.3;13.4;54;22;22;85;69;1005.2;1008.4;8;14.8;16.9;Yes;Yes
5;Albury;9.3;15.8;2.2;43;13;24;82;63;1017.6;1015.4;8;11;14.5;Yes;Yes
5;Albury;10.8;17.2;2;44;17;19;96;86;1016.3;1017;8;14.4;15.8;Yes;No
5;Albury;13.6;20.2;0.2;24;15;6;82;58;1024;1022.8;-1;15.9;18.8;No;No
5;Albury;8.7;20.3;0;48;0;11;91;64;1025.5;1021.6;8;12.6;19.4;No;No
5;Albury;9.5;22.1;0;30;4;20;86;49;1017.7;1015.6;-1;15.3;21.3;No;No
5;Albury;6.3;20.4;0;26;0;13;100;47;1021.5;1017.4;1;10;19.2;No;Yes
5;Albury;9.1;18.3;4.8;33;15;7;78;53;1019.3;1018.5;4;14.2;18.1;Yes;No
5;Albury;8;17.3;0;24;4;11;80;57;1020.6;1018;8;12.6;16.3;No;No
5;Albury;8.3;17.3;0;39;0;17;82;63;1019.7;1016.5;8;12.1;16.4;No;No
5;Albury;12.1;18.5;0;35;9;15;79;47;1022.7;1021.9;-1;15.1;17.9;No;No
5;Albury;4.7;17.9;0;13;0;7;91;64;1027.1;1022.9;-1;9.4;16.6;No;No
5;Albury;5.3;21.8;0;20;2;13;81;55;1023.7;1018.1;-1;11.9;21.4;No;Yes
5;Albury;10.4;15.8;3;59;28;26;75;55;1018.6;1018.5;8;13.5;14.9;Yes;No
5;Albury;8.2;16.2;0;33;9;20;90;57;1021.5;1018.9;1;10.4;15.5;No;No
5;Albury;2.5;14.8;0;19;0;11;99;72;1019.5;1014.8;5;7;13.7;No;Yes
5;Albury;6.9;14.1;15.2;31;7;15;100;84;1005;1002.3;8;10.5;13;Yes;Yes
5;Albury;4.8;14;1.2;35;7;15;86;58;1008.5;1007.2;7;8;13.7;Yes;No
5;Albury;3.8;14.4;0;31;0;17;86;45;1008.9;1009.5;-1;8.2;14.3;No;No
5;Albury;0.5;14.1;0.2;24;6;9;99;54;1020;1019.8;5;5.2;14;No;No
5;Albury;3.6;14.1;0;15;2;0;89;57;1027.6;1025.8;-1;6.2;13.7;No;No
5;Albury;1.8;15.9;0;19;0;13;88;50;1031.1;1027.3;-1;6.6;15.6;No;No
6;Albury;3.2;17.3;0;15;4;9;80;53;1029.2;1026.1;-1;8;17.1;No;No
6;Albury;3.3;18.1;0;13;0;6;85;51;1027.9;1024.2;-1;8.4;17.3;No;No
6;Albury;4.7;13.6;0;28;7;0;73;76;1025;1021.8;8;10.4;11.8;No;Yes
6;Albury;9.8;14.9;11.6;30;13;15;95;92;1015.2;1008.3;8;11.6;13.5;Yes;Yes
6;Albury;10.8;14.6;11.6;35;6;9;97;89;1006.9;1002.4;8;12.9;14.2;Yes;Yes
6;Albury;7.2;12.3;1.2;31;11;17;99;80;1004.9;1004;8;9;11.6;Yes;Yes
6;Albury;9;12.6;3.6;37;17;15;92;81;1004.3;1004.9;8;9.8;11.6;Yes;Yes
6;Albury;9.8;14.6;1.8;35;9;17;88;76;1013.1;1010.1;8;11.4;14;Yes;Yes
6;Albury;11.4;15.7;7.2;48;17;13;80;78;1005.5;1006.7;8;14.2;13.5;Yes;Yes
6;Albury;10.5;13.8;3;28;15;19;89;64;1020;1020.3;6;10.9;12.5;Yes;Yes
6;Albury;9.6;13;1.2;35;13;20;69;67;1025;1025.9;1;10.7;12.6;Yes;No
6;Albury;0.4;12.7;0;15;0;7;85;50;1037.5;1036.1;-1;4.9;11.2;No;No
6;Albury;-0.6;13.8;0.2;17;0;6;88;59;1039.9;1036;-1;4;13.4;No;No
6;Albury;0.9;15.2;0;13;6;4;90;58;1038.2;1035.2;-1;6.6;14.5;No;No
6;Albury;0.9;11.4;0.2;15;7;6;100;70;1034.8;1030.5;-1;3.5;11;No;No
6;Albury;0;12.9;0;17;0;11;95;70;1026;1019.7;8;4.1;12.8;No;Yes
6;Albury;4.1;15.9;7.6;24;13;9;97;83;1014.7;1013.5;8;12.9;14.8;Yes;No
6;Albury;9;17.6;0.2;15;0;7;100;71;1018;1017.1;8;10.2;16.2;No;No
6;Albury;8.1;14.3;0.2;44;2;9;99;74;1017.7;1010.8;1;10;13.9;No;Yes
6;Albury;10;16.6;14.4;35;7;22;90;83;1000.1;998.4;8;11.9;13.9;Yes;Yes
6;Albury;8.8;11.6;1.4;41;9;24;89;84;1004.9;1003.4;8;10.4;10.4;Yes;Yes
6;Albury;9.1;13.7;12.6;43;24;20;89;68;1005.9;1008.4;7;10.6;12.5;Yes;No
6;Albury;9;13.2;0.2;63;13;17;85;73;1010.3;1005.4;8;10.4;12.5;No;Yes
6;Albury;6.6;8.2;4;48;28;26;87;85;1004.8;1007.6;6;7;7.5;Yes;Yes
6;Albury;-0.8;10.5;2.6;30;7;20;95;61;1022.9;1021.9;-1;2.8;9.9;Yes;No
6;Albury;-1.3;7.5;0;15;0;4;99;79;1023.4;1019;-1;2.3;7.4;No;No
6;Albury;2.1;10.6;0.2;28;0;20;100;68;1019.5;1018.7;8;2.5;9.9;No;No
6;Albury;2.5;11.8;0.2;17;7;6;100;80;1026.9;1026.6;8;6.2;10.9;No;No
6;Albury;6.2;13.5;0.8;15;9;9;99;75;1029.8;1026.4;8;9.5;13.1;No;No
6;Albury;3;11.2;0;59;15;13;90;82;1019.3;1013.2;8;8.5;9.6;No;Yes
7;Albury;5.2;11.4;11.4;26;9;7;96;76;1019;1021.4;8;7.3;11.1;Yes;No
7;Albury;7.2;12.5;0.4;17;0;11;88;86;1027.7;1026.4;8;9.3;11.6;No;No
7;Albury;7.9;12.7;0.2;20;6;13;100;82;1027.5;1024.7;7;9.7;12.6;No;No
7;Albury;8.2;11.7;0.2;19;0;13;97;70;1021.1;1016;8;9;11.6;No;No
7;Albury;6.7;10.6;1;19;0;7;92;99;1011.2;1008.6;8;7.8;8.9;No;Yes
7;Albury;7.2;15.4;7.6;43;19;20;80;60;1010.3;1010.4;2;10.6;15;Yes;No
7;Albury;4;16.5;0;30;0;11;100;58;1020.7;1019.1;5;8.3;16.2;No;No
7;Albury;6.5;11.8;0.2;17;2;2;96;94;1022.7;1020.8;8;9.2;11.5;No;Yes
7;Albury;7;15.8;2;13;0;9;100;76;1025.5;1023.1;8;9;13.9;Yes;No
7;Albury;6.2;14;0;28;0;15;100;74;1023.8;1018.9;6;9.1;13.4;No;Yes
7;Albury;9.1;16.2;16.6;44;22;19;82;52;1009.3;1007.9;1;12.8;15.7;Yes;No
7;Albury;8.6;12.9;0.4;69;19;37;79;61;1007.3;1004.2;-1;9.3;12;No;Yes
7;Albury;3.6;9.5;9.6;54;24;19;87;66;1019.3;1023.1;8;4.3;8.9;Yes;No
7;Albury;-0.3;10.8;0.2;26;0;13;99;72;1032.6;1030.1;6;4.4;9.6;No;No
7;Albury;4.4;12.8;0;20;4;6;90;66;1032.9;1030.6;7;8.4;12.2;No;No
7;Albury;-0.4;14;0.2;17;0;7;100;65;1033.9;1030.2;-1;4.5;13.1;No;No
7;Albury;0.4;16.5;0;17;6;6;94;64;1031.6;1027.5;-1;6.1;15.1;No;No
7;Albury;2.1;13.4;0;13;0;2;100;96;1026.2;1022.6;8;7.3;11.8;No;Yes
7;Albury;7.3;15.2;5;17;7;7;100;88;1023.3;1021.8;8;10.9;14;Yes;No
7;Albury;8.5;17.3;0;13;6;7;100;70;1020.9;1019.5;1;10.7;16.7;No;No
7;Albury;6.2;16.8;0.4;15;11;7;100;96;1020.1;1015.6;8;10;13.8;No;Yes
7;Albury;9.9;18.2;6.8;56;31;22;92;99;1003.6;999.5;8;16.8;12.7;Yes;Yes
7;Albury;7.1;10.8;24.2;63;24;28;82;67;1005.2;1009.8;8;8.5;8.4;Yes;No
7;Albury;-0.2;10.1;0.6;28;9;13;86;77;1015.5;1010.7;8;4.7;8.7;No;Yes
7;Albury;4.7;11.5;12;56;15;19;89;87;1013.5;1012.2;8;7.7;10.4;Yes;Yes
7;Albury;4.5;11.3;4;39;15;20;85;72;1017.4;1014.4;8;6.9;9.7;Yes;Yes
7;Albury;6.9;12.6;10.6;39;17;24;90;82;1013.7;1017.3;6;9.5;11.5;Yes;No
7;Albury;5.9;10.8;0;22;9;11;85;79;1027.6;1026.1;8;8.1;10.5;No;No
7;Albury;7.7;12.2;0.8;28;11;15;94;73;1025.8;1022.9;8;9.1;11;No;No
7;Albury;8.3;12.1;0.2;20;9;9;96;74;1024.4;1021.5;8;9.7;11.9;No;Yes
7;Albury;8;14.3;2.2;22;7;9;93;76;1019.4;1017.4;8;9.7;13.7;Yes;Yes
8;Albury;9.6;11.8;3.8;33;0;22;100;92;1017;1012.3;6;10.6;11.5;Yes;Yes
8;Albury;8.3;13.7;21;35;7;20;83;47;1016.2;1016.5;-1;8.6;13.5;Yes;No
8;Albury;-0.2;15.4;0;30;4;11;85;51;1023;1022;-1;5.6;15;No;No
8;Albury;1.4;15.1;0.2;30;9;7;76;48;1029;1027.9;-1;7.6;14.8;No;No
8;Albury;0.5;15.3;0;17;0;9;79;46;1033.5;1030.1;-1;7.2;14.6;No;No
8;Albury;1.2;13;0;17;0;7;100;55;1030.3;1027.2;-1;4;12.1;No;No
8;Albury;0.7;15.6;0.2;13;0;7;88;43;1027.9;1024.8;1;5.5;14.3;No;No
8;Albury;1.4;15.1;0;13;4;7;89;65;1026.7;1023.5;5;6;14.4;No;No
8;Albury;1.8;17.2;0;43;6;24;87;60;1022;1015.9;4;7.8;16.3;No;Yes
8;Albury;7.4;15;2.6;39;11;15;79;56;1015.7;1013.9;8;11.2;14.1;Yes;No
8;Albury;4.7;13.4;0.2;37;13;17;81;57;1021.1;1021.2;5;8.5;11.7;No;No
8;Albury;0.7;11.6;0;19;0;13;100;58;1025.6;1021.8;8;4.7;11;No;No
8;Albury;4.7;15.4;0.6;22;6;19;87;60;1024.2;1022.5;6;9.7;13.8;No;No
8;Albury;4.7;16.6;0.2;22;6;11;81;56;1029.6;1028.1;1;10;16;No;No
8;Albury;2.2;16.8;0;19;0;11;100;56;1033;1030.1;1;6.5;15.7;No;No
8;Albury;1.7;18.5;0;24;0;13;89;54;1030.9;1026.3;-1;8.6;17.9;No;No
8;Albury;6;18;0;22;0;15;92;65;1024.8;1022.6;7;10.6;17.3;No;No
8;Albury;4;19.6;0;28;2;15;100;57;1023.8;1019.2;-1;9.3;19.4;No;No
8;Albury;9.3;16.4;0;52;30;24;58;80;1012.9;1009.7;7;15;13.2;No;Yes
8;Albury;5.3;12;11;43;15;20;86;66;1016.1;1015.2;7;7.1;11.7;Yes;No
8;Albury;5.4;15.4;1;33;11;17;83;56;1020.1;1016.5;2;9.3;14.2;No;No
8;Albury;8.4;13.9;0.2;31;11;19;91;79;1016.8;1013.9;8;9.5;10.6;No;Yes
8;Albury;4.2;15.7;11;24;11;13;88;56;1016.1;1015.2;-1;8.3;15;Yes;No
8;Albury;2.6;12.2;0;13;6;9;79;71;1014.8;1011;8;8.4;11.9;No;No
8;Albury;3.3;14.1;0.2;41;7;26;97;52;1013.2;1012.7;1;7.7;12.5;No;No
8;Albury;0.2;13.6;0;30;7;19;100;50;1022.9;1020.5;1;4;13;No;No
8;Albury;0.7;13.5;0.2;22;4;11;85;53;1025.3;1022.7;8;7;12.3;No;No
8;Albury;2.1;16.9;0;24;4;13;89;57;1024.8;1021.5;8;8.5;16.2;No;No
8;Albury;3.4;18.2;0;26;0;9;85;51;1027.6;1024.2;3;10;16.5;No;No
8;Albury;7.8;15.3;0;37;7;9;81;72;1024.7;1020;8;10.6;15.2;No;Yes
8;Albury;10.6;18.4;22;43;15;20;100;66;1015.9;1015.4;6;13.9;16.7;Yes;No
9;Albury;8.5;16.7;0.4;17;0;11;96;65;1020;1016.1;7;12.3;15.8;No;No
9;Albury;6.1;13.9;0.2;37;6;7;87;76;1012.1;1005.6;8;10.1;13.5;No;Yes
9;Albury;9.6;16.6;33.6;48;15;31;90;60;1003.4;1008.8;1;11.4;15.1;Yes;No
9;Albury;7.7;15.1;0.6;26;20;13;82;66;1023.7;1025.4;7;10.8;14;No;No
9;Albury;4.4;15.9;0;24;4;13;93;63;1031.3;1029.1;7;10.4;14.7;No;No
9;Albury;4.4;18.1;0;15;7;7;100;68;1030.7;1028.1;2;9.2;17.1;No;No
9;Albury;5.5;20.5;0;22;0;7;90;60;1031.2;1027.4;1;12.1;19.7;No;No
9;Albury;8.1;20.3;0;33;7;17;94;63;1027.2;1021.3;8;12.6;20.1;No;Yes
9;Albury;12.6;17.8;4;50;20;20;86;91;1014.8;1009.8;8;15.1;15.7;Yes;Yes
9;Albury;11.2;17.7;17;43;24;26;91;67;1012.4;1013.7;8;12.2;16.5;Yes;No
9;Albury;3.7;14.9;0.2;22;6;13;81;71;1021;1019.1;8;10.7;13.9;No;No
9;Albury;5.1;17.8;0;22;0;7;86;55;1022.3;1019.6;1;11.7;17.7;No;No
9;Albury;6.9;19.7;0;31;9;19;79;55;1020.6;1016.1;1;12.6;19;No;Yes
9;Albury;12.4;16.2;8.6;46;30;22;84;56;1009.5;1008.8;8;14.1;15.4;Yes;Yes
9;Albury;8.3;13.6;10.8;39;17;22;88;72;1008.5;1011;7;10;12.8;Yes;No
9;Albury;9.4;16.1;0.4;31;2;17;87;56;1018.7;1018.1;8;11.7;15.6;No;No
9;Albury;4.4;18.2;0.6;26;2;15;86;60;1022.6;1017.6;8;9.7;17;No;Yes
9;Albury;7.1;13.8;1.2;24;6;13;98;94;1010.7;1005.9;8;10.7;12.9;Yes;Yes
9;Albury;7.4;15.9;7.4;24;2;13;81;57;1013.2;1012;-1;10.5;14.9;Yes;No
9;Albury;5.3;14.9;0;26;13;13;74;59;1018.1;1015.4;4;11.8;14.3;No;Yes
9;Albury;9.8;16.2;12.8;31;11;9;96;72;1009.3;1005.3;8;11.3;15.8;Yes;No
9;Albury;9.3;18.8;0;39;24;28;76;61;1012.3;1011.5;4;13.2;17.6;No;No
9;Albury;4.9;20.5;0;20;7;7;73;48;1015.8;1012;-1;13.3;19.1;No;No
9;Albury;8.3;20.5;0;31;7;17;83;45;1012.3;1008.2;4;14.1;20.2;No;Yes
9;Albury;11;17.5;3;39;0;28;96;55;1008.9;1009.5;-1;12.4;16.7;Yes;No
9;Albury;4.8;15.9;0;33;7;17;73;52;1014.8;1011.9;7;10.6;15.2;No;Yes
